Ambigous_word,POS_Tag,Ambigous_word_index,Sentence1,Sentence2,Label
smell,V,"['0', '1']",smell out corruption ,i smell trouble ,T
consider,V,"['2', '2']",you must consider her age ,i m considering going to the beach tomorrow ,F
economy,N,"['0', '6']",economy of effort ,the scots are famous for their economy ,F
answer,V,"['0', '1']",answer the telephone ,nobody answered when i knocked on the door ,T
language,N,"['2', '5']",the english language ,he did nt have the language to express his feelings ,F
dress,V,"['0', '0']",dress a turkey ,dress the surface smooth ,F
drop,N,"['3', '1']",he had a drop too much to drink ,a drop of each sample was analyzed ,T
dip,N,"['3', '2']",there was a dip in the road ,this onion dip is just scrumptious ,F
bit,N,"['5', '3']",i d like a big bit of cake  please ,there are 8 bits in a byte ,F
date,N,"['4', '7']",they are up to date ,we have nt heard from them to date ,T
lunchtime,N,"['4', '3']",he observed a regular lunchtime ,it s almost lunchtime  so i think i ll finish up later this afternoon ,T
beg,V,"['0', '0']",beg the question ,beg the point in the discussion ,T
home,N,"['0', '5']",home is where the heart is ,there s no place like home ,T
academy,N,"['2', '2']",a riding academy ,the american academy of arts and sciences ,F
shopping,N,"['3', '6']",women carrying home shopping did nt give me a second glance ,i carried three heavy bags of shopping up the stairs ,T
resign,V,"['6', '8']",he had no choice but to resign the game and let his opponent become the champion ,after fighting for so long  she finally resigned to her death ,T
direction,N,"['2', '5']",is the direction of the economy a function of government ,i could nt follow the direction of his thoughts ,F
baby,N,"['6', '4']",the annual report has been my baby since september ,this project is his baby ,T
strike,V,"['4', '2']",the opponent refused to strike ,the boxer struck the attacker dead ,T
seek,V,"['0', '0']",seek happiness ,seek an education ,T
quality,N,"['1', '13']",the quality of students has risen ,a peasant is not allowed to fall in love with a lady of quality ,F
beg,V,"['1', '1']",i beg your pardon  i did nt mean to cause offence ,i begged for her to do it ,T
performance,N,"['3', '5']",they admired his performance under stress ,they listened to ten different performances ,F
begin,V,"['4', '1']",you can not even begin to understand the problem we had to deal with during the war ,he began early in the day ,F
apparition,N,"['1', '5']",the apparition of lawyer clippurse occasioned much speculation in that portion of the world   sir w scott ,natives were amazed at the apparition of this white stranger ,T
case,N,"['2', '5']",a mental case ,the musicians left their instrument cases backstage ,F
keep,V,"['0', '3']",keep count ,i can not keep track of all my employees ,T
top,N,"['4', '4']",she tied her bikini top ,he screamed at the top of his lungs ,F
score,N,"['4', '1']",add it to my score and i ll settle later ,a score were sent out but only one returned ,F
impression,N,"['4', '4']",he did a funny impression of a politician ,the dentist took an impression for use in preparing an inlay ,F
take,V,"['2', '1']",i ll take the blue plates ,we took the road on the right ,T
care,V,"['3', '3']",i do nt care ,i do nt care what he does ,T
scene,N,"['3', '12']",he made a scene ,the play is divided into three acts  and in total twentyfive scenes ,F
seek,V,"['0', '0']",seek happiness ,seek a position ,T
order,N,"['4', '3']",the house is in order ,ibm received an order for a hundred computers ,F
land,V,"['5', '2']",the plane is about to land ,the ship landed in pearl harbor ,T
heart,N,"['1', '5']",the heart and soul of the republican party ,they ran forward into the heart of the struggle ,F
check,V,"['0', '1']",check your luggage before boarding ,she checked for an instant and missed a step ,F
practice,N,"['6', '11']",a hard theory to put into practice ,that may work in theory  but will it work in practice ,T
receive,V,"['0', '0']",receive payment ,receive a gift ,T
system,N,"['1', '5']",the system consists of a motor and a small computer ,he bought a new stereo system ,T
pull,V,"['0', '7']",pull a horse ,you ll be sent home if you pull another stunt like that ,F
boy,N,"['4', '3']",the baby was a boy ,steve is a boy of 16 ,T
confidence,N,"['2', '5']",i have confidence in our team ,everyone trusted him with their confidences ,F
pop,V,"['0', '2']",pop the clutch ,the muskets popped away on all sides ,F
disposition,N,"['4', '3']",a swelling with a disposition to rupture ,salt has a disposition to dissolve in water ,F
quality,N,"['14', '3']",while being impulsive can be great for artists  it is not a desirable quality for engineers ,one of the qualities of pure iron is that it does not rust easily ,T
leave,V,"['0', '0']",leave the flowers that you see in the park behind ,leave it as is ,T
furniture,N,"['9', '4']",the woman does not even have one stick of furniture moved in yet ,they had too much furniture for the small apartment ,T
pay,V,"['0', '2']",pay a debt ,do nt pay him any mind ,F
pay,V,"['0', '1']",pay a visit ,it pays to go through the trouble ,F
shade,N,"['6', '2']",it is much cooler in the shade ,close the shade  please  it s too bright in here ,T
extension,N,"['1', '0']",good extension comes from a combination of training and native ability ,extension of the program to all in need ,F
area,N,"['8', '1']",the photo is a little dark in that area ,the area of a rectangle ,T
neck,N,"['5', '5']",the banjo had a long neck ,the bottle had a wide neck ,T
approve,V,"['1', '2']",i approve of his educational policies ,i certainly approved of mary s acquaitance ,T
arouse,V,"['0', '1']",arouse pity ,to arouse jealousy ,T
loaf,N,"['1', '1']",sugar loaf ,meat loaf ,T
pay,V,"['6', '1']",how much does this savings certificate pay annually ,to pay attention ,T
close,V,"['0', '0']",close with the enemy ,close the door ,F
lift,V,"['0', '1']",lift a ban ,i lifted the books onto the table ,F
floor,N,"['7', '1']",many sunken ships rest on the ocean floor ,the floor of the cave ,T
fall,V,"['0', '1']",fall asleep ,she fell to pieces after she lost her work ,T
dissent,V,"['0', '2']",dissent to the laws of the country ,several republicans dissented ,F
seat,N,"['4', '4']",he dusted off the seat before sitting down ,there are two hundred seats in this classroom ,T
richness,N,"['6', '1']",he was well aware of the richness of his own appearance ,the richness all around unsettled him for he had expected to find poverty ,F
dig,V,"['0', '0']",dig the oars into the water ,dig your foot into the floor ,T
make,V,"['3', '1']",this invention will make you a millionaire ,she made us look silly ,T
eat,V,"['3', '4']",what do whales eat ,this dog does nt eat certain kinds of meat ,T
pull,V,"['0', '0']",pull your knees towards your chin ,pull the handle towards you ,T
cycle,N,"['9', '3']",the  ring of the nibelung  is a cycle of four operas by richard wagner  the famous nineteenthcentury german composer ,schubert s song cycles ,T
leave,V,"['0', '0']",leave the young fawn alone ,leave the flowers that you see in the park behind ,T
lot,N,"['2', '3']",a building lot in a city ,he bought a lot on the lake ,T
talk,V,"['4', '9']",they sat down to talk business ,although i do nt speak chinese i managed to talk with the villagers using signs and gestures ,T
third,N,"['9', '6']",he was cut down on a close play at third ,a simple harmony written in major thirds ,F
tendency,N,"['1', '3']",a tendency to be too strict ,denim has a tendency to fade ,T
coverage,N,"['6', '3']",they accused the paper of biased coverage of race relations ,there are overlapping coverages on your insurance policies ,F
return,N,"['1', '2']",the return of spring ,the average return was about 5  ,F
stretch,V,"['0', '1']",stretch the fabric ,i stretched the rubber band until it almost broke ,T
carry,V,"['2', '3']",these bonds carry warrants ,this new washer carries a two year guarantee ,T
rest,N,"['10', '6']",the sun sets  and the workers go to their rest ,i need to get a good rest tonight  i was up late last night ,T
clear,V,"['0', '2']",clear a debt ,the fog cleared in the afternoon ,F
strike,V,"['0', '2']",strike ` z  on the keyboard ,the pianist strikes a middle c ,T
misplay,V,"['1', '1']",he misplayed his promising position ,i misplayed the tennis shot  i should have hit it to her right instead of left and she d have had more trouble returning it ,T
branch,N,"['1', '6']",a branch of congress ,he broke off one of the branches ,F
foulness,N,"['4', '3']",mouths which speak such foulness must be cleansed ,he understood the foulness of sin ,T
top,N,"['3', '5']",he removed the top of the carton ,the mower cuts off the tops of the grass ,F
grate,V,"['0', '1']",grate one s teeth in anger ,to grate a window ,F
pledge,N,"['4', '2']",his saxophone was in pledge ,signed a pledge never to reveal the secret ,F
brim,V,"['0', '2']",brim a cup to good fellowship ,the room brimmed with people ,F
point,N,"['2', '3']",the main point on the agenda was taken up first ,what is the point of discussing it ,F
utility,N,"['4', '7']",a computer system provides utility programs to perform the tasks needed by most users ,the price of the house included all utilities ,F
work,V,"['4', '2']",do you want to work after the age of 60 ,she never worked because she inherited a lot of money ,T
order,N,"['5', '4']",an explosion of a low order of magnitude ,it was on the order of a mile ,T
tongue,N,"['4', '0']",she has a glib tongue ,tongues of flame licked at the walls ,F
deliver,V,"['0', '2']",deliver the mail ,the guard delivered the criminal to the police ,F
sense,N,"['5', '5']",fortunately she had the good sense to run away ,he has nt got the sense god gave little green apples ,T
denial,N,"['10', '5']",every time we asked for an interview we got a denial ,it resulted in a complete denial of his privileges ,T
outwardness,N,"['6', '1']",what is the origin of the outwardness of our sensations of sound  smell  or taste ,the outwardness of the world ,F
shopping,N,"['3', '6']",she loaded her shopping into the car ,i carried three heavy bags of shopping up the stairs ,T
bake,V,"['1', '3']",potatoes bake to a crisp ,she s been baking all day to prepare for the dinner ,T
forbid,V,"['2', '2']",the rules forbid our smoking ,the rules forbid us from smoking ,T
ball,N,"['1', '1']",the ball was already emptying out before the fire alarm sounded ,the ball rolled into the corner pocket ,F
light,N,"['8', '10']",i m really seeing you in a different light today ,magoon s governorship in cuba was viewed in a negative light by many cuban historians for years thereafter ,T
war,N,"['2', '9']",the  war on terror  is a campaign against terrorist crime ,in the us  conservatives rail against the  war on christmas  ,T
gather,V,"['0', '2']",gather some stones ,the teacher gathered the kids together ,T
optimization,N,"['2', '3']",the simultaneous optimization of growth and profitability ,to promote the optimization and diversification of agricultural products ,T
stretch,V,"['0', '6']",stretch the imagination ,to enjoy the picnic  we stretched out on the grass ,F
hold,V,"['6', '0']",the general ordered the colonel to hold his position at all costs ,hold the horse ,T
touch,V,"['12', '3']",please can i have a look  if i promise not to touch ,i would nt touch her with a tenfoot pole ,F
war,N,"['2', '1']",the  war on drugs  is a campaign against the use of narcotic drugs ,the war on poverty ,T
horizon,N,"['4', '13']",it is beyond the horizon of present knowledge ,some students take a gap year after finishing high school to broaden their horizons ,T
stay,V,"['5', '2']",wear gloves so your hands stay warm ,we are staying in detroit ,F
case,N,"['14', '4']",for english  a compositor will ordinarily have two such cases  the upper case containing the capitals and the lower case containing the small letters ,that was not the case ,F
match,V,"['13', '0']",these two copies are supposed to be identical  but they do nt match ,match my sweater ,F
floor,N,"['1', '7']",the floor of a cave served the refugees as a home ,many sunken ships rest on the ocean floor ,T
sell,V,"['4', '2']",the french try to sell us their image as great lovers ,the brothers sell shoes ,F
extension,N,"['1', '7']",the extension of ` satellite of mars  is the set containing only demos and phobos ,a text file will have a file extension of txt ,F
have,V,"['3', '3']",i do nt have any money left ,what do we have here ,F
business,N,"['5', '0']",he bought his brother s business ,business has been slow lately ,F
leak,N,"['1', '6']",a leak in a gas pipe ,he had to clean up the leak ,T
key,N,"['5', '7']",he spoke in a low key ,some students cheated by using the answer key ,F
field,N,"['8', '6']",anthropologists do much of their work in the field ,he needs some time in the field before his judgment can be trusted ,T
summit,N,"['9', '10']",the region is a few molecules wide at the summit ,in summer  it is possible to hike to the summit of mt shasta ,T
block,N,"['7', '1']",anne boleyn placed her head on the block and awaited her execution ,a block of stone ,T
size,N,"['5', '6']",the only city of any size in that area ,he blanched when he saw the size of the bill ,T
folk,N,"['4', '0']",they re just country folk ,folks around here drink moonshine ,T
ambition,N,"['1', '1']",my ambition is to own a helicopter ,his ambition is to own his own business ,T
connect,V,"['4', '2']",the new railroad will connect the northern part of the state to the southern part ,our computers connected ,T
work,V,"['5', '2']",the voting process does nt work as well as people thought ,the medicine works only if you take it with a lot of water ,T
forefront,N,"['8', '6']",the idea of motion was always to the forefront of his mind and central to his philosophy ,the cotswolds were once at the forefront of woollen manufacturing in england ,T
exercise,N,"['4', '6']",the doctor recommended regular exercise ,the teacher told us the next exercise is to write an essay ,T
strike,V,"['0', '2']",strike a medal ,the teacher struck the child ,F
order,N,"['0', '2']",order ruled in the streets ,law and order ,T
pay,V,"['2', '1']",does she pay you for the work you are doing ,he paid off the loan three months early ,T
drive,V,"['2', '0']",can you drive this fourwheel truck ,drive the game ,F
faith,N,"['2', '2']",i have faith in the goodness of my fellow man ,they broke faith with their investors ,F
time,N,"['1', '3']",this time he succeeded ,he called four times ,T
carry,V,"['1', '1']",i carry these thoughts in the back of my head ,i carry a lot of life insurance ,T
business,N,"['7', '0']",they did nearly a million dollars of business over the long weekend ,business has been slow lately ,T
place,N,"['8', '5']",do you want to come over to my place later ,a political system with no place for the less prominent groups ,F
notice,N,"['6', '1']",you did nt give me enough notice ,a notice of sale ,T
period,N,"['2', '3']",hastened the period of time of his recovery ,picasso s blue period ,T
treat,V,"['4', '4']",she was tempted to treat the whole affair as a joke ,the patient must be treated right away or she will die ,F
beat,V,"['0', '0']",beat the cream ,beat the subway fare ,F
pull,V,"['0', '0']",pull the trigger of the gun ,pull the rope ,T
sanitize,V,"['0', '0']",sanitize a document before releasing it to the press ,sanitize the language in a book ,T
operation,N,"['8', '2']",they paid taxes on every stage of the operation ,a multinational operation ,T
part,N,"['3', '4']",she played the part of desdemona ,we all have a part to play ,T
travel,N,"['7', '1']",he enjoyed selling but he hated the travel ,space travel ,T
foot,N,"['4', '4']",armored from head to foot ,curled up on the foot of the bed ,F
make,V,"['3', '1']",he did nt make the choir after his voice changed ,she makes more than he does  and works longer hours than he does  but she still does most of the housecleaning ,T
tab,N,"['4', '4']",files with a red tab will be stored separately ,the collar has a tab with a button hole ,T
rule,N,"['3', '3']",it was his rule to take a walk before breakfast ,he knew the rules of chess ,F
make,V,"['0', '0']",make clay into bricks ,make lead into gold ,T
operation,N,"['4', '15']",they will schedule the operation as soon as an operating room is available ,it is dangerous to look at the beam of a laser while it is in operation ,T
institution,N,"['1', '1']",the institution of slavery ,the institution of marriage ,T
statement,N,"['4', '4']",his tantrums are a statement of his need for attention ,a cadillac makes a statement about who you are ,T
readiness,N,"['3', '2']",putting them in readiness ,a happy readiness of conversation  jane austen ,F
develop,V,"['1', '1']",please develop this roll of film for me ,they developed a new technique ,F
light,N,"['4', '7']",he stepped into the light ,they played as long as it was light ,F
vehicle,N,"['4', '4']",a congregation is a vehicle of group identity ,his editorials provided a vehicle for his political views ,T
sign,N,"['4', '2']",the hunters found deer sign at the end of the trail ,he showed signs of strain ,T
back,V,"['2', '3']",can you back up your claims ,i ca nt back this plan ,F
run,V,"['3', '4']",let the dogs run free ,who are these people running around in the building ,T
work,N,"['7', '11']",a lot of people are out of work ,he has nt come home yet  he s still at work ,T
set,V,"['0', '0']",set these words in italics ,set the house afire ,F
center,N,"['3', '5']",it is a center s responsibility to get the football to the quarterback ,his stories made him the center of the party ,F
read,V,"['0', '2']",read the advertisement ,have you read salman rushdie ,T
hedge,V,"['5', '0']",diversify your financial portfolio to hedge price risks ,hedge your bets ,T
trace,V,"['0', '0']",trace a pattern ,trace a design ,T
support,N,"['3', '6']",the government provides support to the arts in several ways ,the president no longer has the support of his own party ,T
lash,V,"['1', '2']",to lash something to a spar ,the lion lashed its tail ,F
cover,V,"['4', '0']",the grant does nt cover my salary ,cover the child with a blanket ,F
develop,V,"['1', '0']",please develop this roll of film for me ,develop land ,F
face,V,"['1', '0']",to face the front of a coat  or the bottom of a dress ,face the lapels of the jacket ,T
language,N,"['0', '1']",language sets homo sapiens apart from all other animals ,the language introduced is standard throughout the text ,F
call,V,"['3', '0']",we could always call on a friend ,call roll ,F
tolerate,V,"['13', '3']",i like the way he plays the guitar  but i ca nt tolerate his voice when he sings ,he learned to tolerate the heat ,T
take,V,"['1', '3']",i take it you re not going ,you ca nt take credit for this ,T
work,V,"['2', '1']",i will work hard to improve my grades ,john worked with paul on the task ,T
age,N,"['5', '2']",we live in a litigious age ,the tithonian age was the last in the late jurassic epoch ,T
complexion,N,"['2', '3']",a rugged complexion ,a liberal political complexion ,F
difference,N,"['6', '5']",it just wo nt make much difference to me ,his support made a real difference ,T
cry,V,"['9', '1']",before we had newspapers  a town crier would cry the news ,he cried his merchandise in the market square ,T
token,N,"['9', '2']",according to the bible  the rainbow is a token of god s covenant with noah ,a book token is the easiest option for a christmas gift ,F
number,N,"['1', '10']",the number of parameters is small ,in english the subject and the verb must agree in number ,F
nose,N,"['4', '6']",he ducked under the nose of the gun ,he has a cold in the nose ,F
order,N,"['0', '5']",order ruled in the streets ,the machinery is out of order ,T
pack,V,"['3', '0']",you had better pack your swollen ankle with ice ,pack your tents to the top of the mountain ,F
demand,N,"['4', '1']",the automobile reduced the demand for buggywhips ,his demands for attention were unceasing ,F
bankruptcy,N,"['1', '1']",spiritual bankruptcy ,moral bankruptcy ,T
experience,N,"['4', '3']",he had a religious experience ,he recalled the experience vividly ,T
movement,N,"['2', '8']",the second movement is slow and melodic ,it was an expensive watch with a diamond movement ,F
union,N,"['4', '2']",there is strength in union ,the soviet union ,F
include,V,"['9', '2']",i will purchase the vacation package if you will include car rental ,we must include this chemical element in the group ,T
movement,N,"['9', '2']",the succession of flashing lights gave an illusion of movement ,the labor movement has been struggling in america since the passage of the tafthartley act in 1947 ,F
stay,N,"['4', '3']",they had a nice stay in paris ,a lengthy hospital stay ,T
year,N,"['2', '2']",in the year 1920 ,a normal year has 365 full days  but there are 366 days in a leap year ,T
resolution,N,"['3', '1']",printing at higher resolution will cause a reduction in performance ,the resolution of an equation ,F
order,N,"['8', '2']",a friend in new mexico said that the order caused no trouble out there ,law and order ,F
come,V,"['0', '3']",come into contact with a terrorist group ,your wish will come true ,T
trade,N,"['5', '7']",as they say in the trade ,they are accused of conspiring to constrain trade ,F
carry,V,"['2', '1']",these pipes carry waste water into the river ,amanda carried the package from home ,T
stuff,N,"['1', '5']",the stuff of heros ,you do nt have the stuff to be a united states marine ,T
back,V,"['0', '2']",back into the driveway ,the wind backed ,F
course,N,"['1', '5']",the course of the river ,the government took a firm course ,F
strengthen,V,"['1', '2']",to strengthen authority ,his body strengthened ,T
immolate,V,"['0', '2']",immolate the valuables at the temple ,the aztecs immolated human victims ,T
form,N,"['4', '8']",his resentment took the form of extreme hostility ,the composition presents problems for students of musical form ,F
unionize,V,"['15', '11']",my uncle got roughed up by some corporate thugs after they caught him trying to unionize their workers ,the company laid off all the workers when they tried to unionize ,T
allow,V,"['5', '1']",this sealed door wo nt allow the water come into the basement ,to allow a servant his liberty ,F
surprise,N,"['1', '2']",the surprise attack was devastating ,imagine my surprise on learning i owed twice as much as i thought i did ,F
trade,N,"['4', '3']",i had no further trade with him ,i did no trades with them once the rumors started ,T
earth,V,"['0', '9']",earth the circuit ,that noise is because the amplifier is not properly earthed ,T
tea,N,"['4', '8']",would you like some tea ,the store shelves held many different kinds of tea ,T
block,N,"['11', '1']",i knew his name perfectly well but i had a temporary block ,a block of stone ,F
difference,N,"['6', '1']",it just wo nt make much difference to me ,the difference in her is amazing ,T
face,N,"['3', '9']",he washed his face ,i wish i had seen the look on his face when he got the news ,T
call,V,"['4', '1']",the mayor likes to call on some of the prominent citizens ,she called her children lazy and ungrateful ,F
staple,N,"['5', '0']",tow is flax with short staple ,staple fibers vary widely in length ,T
unit,N,"['1', '8']",a unit of wheat is a bushel ,he was a member of a special police unit ,F
command,N,"['5', '3']",general smith was placed in command ,an admiral in command ,T
union,N,"['4', '4']",there is strength in union ,let c be the union of the sets a and b ,F
air,N,"['7', '7']",open a window and let in some air ,as he waited he could feel the air on his neck ,F
roll,V,"['0', '2']",roll a cigarette ,the drawer rolled open ,F
mire,N,"['3', '10']",caught in the mire of poverty ,the country is still trying to climb out of the mire left by its previous president ,T
bid,N,"['1', '1']",his bid was  35000 ,a bid for a lucrative transport contract ,T
acknowledgment,N,"['11', '4']",she must have seen him but she gave no sign of acknowledgment ,the preface contained an acknowledgment of those who had helped her ,T
finish,N,"['7', '3']",he applied a coat of a clear finish ,the car s finish was so shiny and new ,T
play,V,"['0', '2']",play cards ,who s playing now ,T
beat,V,"['0', '0']",beat the subway fare ,beat a path through the forest ,F
keep,V,"['0', '2']",keep count ,the pianist kept time with the metronome ,T
classify,V,"['2', '3']",should we classify  make up  as an idiom or as a phrasal verb ,how would you classify these pottery shards  are they prehistoric ,T
pull,V,"['0', '0']",pull a bank robbery ,pull a chicken ,F
buy,V,"['4', '3']",i m going to buy my father something nice for his birthday ,this sum will buy you a ride on the train ,F
nick,N,"['7', '4']",he s just been released from shadwell nick prison after doing ten years for attempted murder ,he s in the nick ,T
dwelling,N,"['6', '2']",the old house served as a dwelling for albert ,philip s dwelling fronted on the street   alfred tennyson ,T
par,N,"['0', '7']",par for this course is 72 ,he needs to make this shot for par ,T
charge,V,"['4', '2']",how much do you charge for lunch ,this fellow charges  100 for a massage ,T
stretch,V,"['2', '2']",i always stretch my muscles before exercising ,his mustache stretched all the way to his sideburns ,F
area,N,"['7', '1']",it was about 500 square feet in area ,the area of a rectangle ,T
neighborhood,N,"['5', '8']",the price is in the neighborhood of  100 ,he always blames someone else in the immediate neighborhood ,F
drag,V,"['2', '0']",do nt drag me into this business ,drag this icon to the lower right hand corner of the screen ,F
commercialization,N,"['6', '4']",the government tried to accelerate the commercialization of this development ,my father considered the commercialization of christmas to be a sacrilege ,T
field,N,"['10', '8']",there are several species of wild flowers growing in this field ,this racehorse is the strongest in a weak field ,F
back,N,"['6', '6']",he wrote the date on the back of the photograph ,i hung the clothes on the back of the door ,T
piece,N,"['6', '2']",the children acted out a comic piece to amuse the guests ,an important piece of the evidence ,F
teach,V,"['2', '2']",can you teach me to sew ,can you teach sewing to me ,T
form,N,"['7', '4']",he was at the top of his form ,the team was off form last night ,T
think,V,"['3', '1']",she did nt think to harm me ,we thought to return early that night ,T
post,N,"['3', '2']",he occupied a post in the treasury ,sent via post ,T
see,V,"['2', '3']",i can see what will happen ,i ca nt see him on horseback ,T
bit,N,"['3', '3']",in just a bit ,there are 8 bits in a byte ,F
stay,V,"['1', '3']",to stay a flat sheet in a steam boiler ,i had to stay at home and watch the children ,F
face,N,"['4', '3']",they climbed the north face of the mountain ,why the sad face ,F
death,N,"['1', '4']",the death of my grandmother saddened the whole family ,she stayed until his death ,F
space,N,"['8', '5']",they tested his ability to locate objects in space ,write your name in the space provided ,F
empathize,V,"['4', '4']",you really have to empathize with their doing it ,you really have to empathize with them ,T
serve,V,"['3', '1']",this table would serve very well ,they serve a restricted role on the bench ,T
follow,V,"['2', '1']",can you follow her argument ,she followed the men with the binoculars ,F
orbit,N,"['3', '3']",the moon s orbit around the earth takes nearly one month to complete ,in the political orbit of a world power ,F
do,V,"['0', '2']",do research ,this car does 150 miles per hour ,F
stretch,V,"['0', '3']",stretch out that piece of cloth ,the rubber band stretched almost to the breaking point ,F
pay,V,"['0', '1']",pay up  please ,it pays to go through the trouble ,F
course,N,"['1', '3']",the course of the river ,he took a course in basket weaving ,F
go,V,"['4', '2']",his knowledge does nt go very far ,this property goes all the way to the state line ,T
tail,N,"['25', '4']",after the burly macho nudists  polar bear dip  their tails were spectacularly shrunk  so they looked like an immature kid s innocent tail ,most primates have a tail and fangs ,F
fire,N,"['4', '3']",they sat by the fire and talked ,he went through fire and damnation ,F
protection,N,"['3', '2']",he made trade protection a plank in the party platform ,insurance provided protection against loss of wages due to illness ,F
strike,V,"['0', '2']",strike a match ,the teacher struck the child ,F
time,N,"['6', '4']",it took more than half my time ,i did nt have time to finish ,T
develop,V,"['0', '1']",develop a market for the new mobile phone ,please develop this roll of film ,F
extend,V,"['0', '2']",extend the casserole with a little rice ,can we extend the legs of this dining table ,F
word,N,"['5', '4']",he did nt say a word about it ,can i have a word with you ,T
bed,N,"['7', '8']",he searched for treasure on the ocean bed ,there s a lot of trash on the bed of the river ,T
breakfast,V,"['1', '1']",we breakfast at seven ,cynthia breakfasted on peaches ,T
seat,N,"['1', '1']",the seat of these trousers is almost worn through ,the seat of his pants was worn through ,T
authority,N,"['0', '3']",authority for the program was renewed several times ,he is an authority on corporate law ,F
echo,N,"['4', '6']",napoleon iii was an echo of the mighty emperor but an infinitely better man ,his contention contains more than an echo of rousseau ,T
play,V,"['0', '1']",play sports ,we played hockey all afternoon ,T
heart,N,"['1', '1']",the heart and soul of the republican party ,the heart and soul of any democracy is its electorate ,T
finish,N,"['2', '4']",his best finish in a major tournament was third ,excitement grew as the finish neared ,F
sense,N,"['1', '1']",a sense of self ,a sense of security ,T
bake,V,"['0', '3']",bake the potatoes ,she s been baking all day to prepare for the dinner ,T
blow,V,"['1', '0']",to blow a horse ,blow now ,F
toy,V,"['1', '0']",to toy with a piece of food on one s plate ,toy with an idea ,T
drink,N,"['5', '3']",can i buy you a drink ,he took a drink of his beer and smacked his lips ,F
shade,V,"['0', '6']",shade the meaning ,the hillside was bright green  shading towards gold in the drier areas ,T
game,N,"['5', '7']",i saw through his little game from the start ,you need four people to play this game ,F
field,N,"['8', '5']",a crop circle was made in a corn field ,they are outstanding in their field ,F
firewood,N,"['11', '6']",after many days of hard work  we finally had enough firewood for the winter ,they collected and cut their own firewood ,T
serve,V,"['1', '1']",they serve a restricted role on the bench ,she served in congress for two terms ,F
border,N,"['2', '1']",a solid border around a table of figures ,the border between canada and usa is the longest in the world ,F
bounce,V,"['6', '3']",the exboxer s job is to bounce people who want to enter this private club ,the rubber ball bounced ,F
wall,N,"['5', '1']",negotiations ran into a brick wall ,a wall of smoke ,T
make,V,"['2', '0']",do nt make this into a big deal ,make yourself clear ,T
touch,V,"['2', '2']",do nt touch my cds ,stefan was touched by the song s message of hope ,F
connect,V,"['4', '2']",the new railroad will connect the northern part of the state to the southern part ,can you connect the two loudspeakers ,T
taste,N,"['5', '7']",the melon had a delicious taste ,the candy left him with a bad taste ,T
opinion,N,"['7', '1']",he asked for a poll of public opinion ,his opinions appeared frequently on the editorial page ,F
have,V,"['3', '1']",look what i have here  a frog i found on the street ,he had a cold last week ,F
trim,V,"['0', '0']",trim an airplane ,trim the photograph ,F
leak,N,"['1', '1']",a leak in a gas pipe ,a leak in a boat ,T
use,V,"['2', '0']",we can use this mathematical formula to solve the problem ,use this knife to slice the bread ,T
submission,N,"['1', '5']",his submission to the will of god ,the union was brought into submission ,T
past,N,"['13', '2']",a book about a time machine that can transport people back into the past ,forget the past ,T
thing,N,"['1', '2']",a thing of the spirit ,a funny thing happened on the way to the ,F
stay,V,"['0', '0']",stay alone ,stay put in the corner here ,F
time,N,"['9', '10']",the judge leniently granted a sentence with no hard time ,he is not living at home because he is doing time ,T
baby,N,"['3', '1']",when is your baby due ,the baby of the supreme court ,F
join,V,"['2', '3']",many children join a sports club ,most politicians have joined a party ,T
mouth,N,"['6', '3']",they built a fire at the mouth of the cave ,he stuffed his mouth with candy ,F
time,N,"['7', '3']",okay  but this is the last time  no more after that ,he called four times ,T
call,V,"['4', '2']",the mayor likes to call on some of the prominent citizens ,the engineer called round whilst you were away ,T
picture,N,"['5', '4']",the author gives a depressing picture of life in poland ,he had no clear picture of himself or his world ,F
roll,V,"['9', '2']",i want to get there early  let s roll ,the water rolled ,F
floor,N,"['5', '7']",the room has a wooden floor ,they needed rugs to cover the bare floors ,T
formation,N,"['1', '1']",the formation of memories ,the formation of sentences ,T
avoid,V,"['4', '1']",her former friends now avoid her ,he avoided his nagging ,T
top,N,"['7', '5']",the title should be written at the top of the first page ,he got a bright red top and string for his birthday ,F
communicate,V,"['12', '6']",i feel i hardly know him  i just wish he d communicate with me a little more ,he and his sons have nt communicated for years ,T
run,V,"['2', '1']",do nt run that software unless you have permission   ,they ran twenty blood tests on me and they still do nt know what s wrong ,T
skinful,N,"['10', '12']",i was nt thinking straight  i d had a skinful that night ,someone had to drive me home last night because i had a skinful ,T
cuddle,V,"['10', '1']",i m cold  can you roll over here and cuddle me  honey ,i cuddled the baby ,T
move,V,"['6', '2']",come on guys  let s move  there s work to do ,the horse moves a carriage ,F
sound,N,"['1', '1']",the sound awakened them ,owen sound ,F
influence,N,"['4', '5']",used her parents  influence to get the job ,she was the most important influence in my life ,F
catch,V,"['0', '2']",catch fire ,the bucket catches water from the downspout ,T
apply,V,"['0', '1']",apply for a job ,he applied for a leave of absence ,T
trace,V,"['0', '2']",trace a design ,the women traced the pasture ,F
pay,V,"['0', '9']",pay an obligation ,he was allowed to go as soon as he paid ,T
clear,V,"['0', '2']",clear a debt ,the sky cleared ,F
tune,N,"['5', '5']",the clarinet was out of tune ,he can not sing in tune ,T
leak,N,"['6', '1']",one of the tires developed a leak ,the leaks by chelsea manning showed the secrets of the us military ,F
